Random Facts,Sun,Mercury,Venus,Earth,Mars,Jupiter,Saturn,Uranus,Neptune
Uranus is tilted on its side.,Sun takes up 99.86% of the mass in Solar System!,Mercury is the smallest and closest planet to the Sun.,Venus is the brightest and second closest planet to the Sun.,Earth is the only habitable and third closest planet to the Sun which we live on.,Mars also known as the red planet is the fourth closest planet to the Sun.,Jupiter is the largest and fifth closest planet to the Sun.,Saturn also known as the ring planet is the sixth closest to the Sun.,Uranus is the seventh from planet to the Sun.,Neptune is the coldest and eight planet from the Sun.
"Jupiter's moon named ""Io"" has towering volcanic eruptions.",Sun is giant gas ball composed of hydrogen and helium.,Mercury's core is constantly shrinking in size.,"Venus's atmosphere is 96% all carbondioxide, with no water on it's surface, creating a greenhouse effect.","71% of the Earth's surface is covered with water, which only 3% of it is drinkable!",Shockingly there is water found on Mars in frozen form i.e. ice.,"Jupiter is 650.29 million km away from Earth, and is large enough to fit 1,300 Earths inside it!!",Saturn's ring isn't solid infact it's made up of millions of tiny particles such as ice and rocks held together by it's strong gravity!,Uranus's axis is so tilted ( almost 98° ) it appears to be rotating on its side.,Neptune being the coldest planet in our Solar System can go as low as -391° C or -671.8° F!!
"Mars has the biggest volcano (that we know of) namely, Olympus Mons.","Sun is 149.48 million kms away from Earth, this distance is also known as the Astronomical Unit (A.U.)",Your weight on Mercury would be 38% of your weight on Earth.,"Venus's dense atmosphere traps heat, making it the hottest planet, hence the temperature reaching upto 450° C!","Earth's gravity and it's shape isn't uniform, more like an irregularly shaped ellipsoid.",The iron rich minerals present on Mars's surface is what gives it the red colour!,"Jupiter is the fastest spinning planet, and it's magnetic field is 14 times stronger than Earths.",Saturn is the most distant planet which can be seen by naked eye!,"Uranus is one of the coldest planet, with temperature hitting as low as -188.3° C or -370.94° F!",Neptune appears blue to eyes due to absorption of red and infrared light by it's methane atmosphere.
Mars also has the longest valley Valles Marineris.,The Sun is big enough to fit 1.3 million Earth inside it!!,Mercury is the smallest and closest planet to the Sun.,Venus is the brightest and second closest planet to the Sun.,Earth is the only habitable and third closest planet to the Sun which we live on.,Mars also known as the red planet is the fourth closest planet to the Sun.,Jupiter is the largest and fifth closest planet to the Sun.,Saturn also known as the ring planet is the sixth closest to the Sun.,Uranus is the seventh from planet to the Sun.,Neptune is the coldest and eight planet from the Sun.
"Venus has super-powerful winds, reaching 360kmph or 224mph!!",Sun takes up 99.86% of the mass in Solar System!,Mercury's core is constantly shrinking in size.,"Venus's atmosphere is 96% all carbondioxide, with no water on it's surface, creating a greenhouse effect.","71% of the Earth's surface is covered with water, which only 3% of it is drinkable!",Shockingly there is water found on Mars in frozen form i.e. ice.,"Jupiter is 650.29 million km away from Earth, and is large enough to fit 1,300 Earths inside it!!",Saturn's ring isn't solid infact it's made up of millions of tiny particles such as ice and rocks held together by it's strong gravity!,Uranus's axis is so tilted ( almost 98° ) it appears to be rotating on its side.,Neptune being the coldest planet in our Solar System can go as low as -391° C or -671.8° F!!
"The biggest star known in universe is UY Scuti, with a radius around 1,700 times larger than the sun!",Sun is giant gas ball composed of hydrogen and helium.,Your weight on Mercury would be 38% of your weight on Earth.,"Venus's dense atmosphere traps heat, making it the hottest planet, hence the temperature reaching upto 450° C!","Earth's gravity and it's shape isn't uniform, more like an irregularly shaped ellipsoid.",The iron rich minerals present on Mars's surface is what gives it the red colour!,"Jupiter is the fastest spinning planet, and it's magnetic field is 14 times stronger than Earths.",Saturn is the most distant planet which can be seen by naked eye!,"Uranus is one of the coldest planet, with temperature hitting as low as -188.3° C or -370.94° F!",Neptune appears blue to eyes due to absorption of red and infrared light by it's methane atmosphere.
An Spacecraft have visited each and every planet in our Solar System.,"Sun is 149.48 million kms away from Earth, this distance is also known as the Astronomical Unit (A.U.)",Mercury is the smallest and closest planet to the Sun.,Venus is the brightest and second closest planet to the Sun.,Earth is the only habitable and third closest planet to the Sun which we live on.,Mars also known as the red planet is the fourth closest planet to the Sun.,Jupiter is the largest and fifth closest planet to the Sun.,Saturn also known as the ring planet is the sixth closest to the Sun.,Uranus is the seventh from planet to the Sun.,Neptune is the coldest and eight planet from the Sun.
The largest blackhole Ton 618 has a mass of 66 million times of the Sun!!,The Sun is big enough to fit 1.3 million Earth inside it!!,Mercury's core is constantly shrinking in size.,"Venus's atmosphere is 96% all carbondioxide, with no water on it's surface, creating a greenhouse effect.","71% of the Earth's surface is covered with water, which only 3% of it is drinkable!",Shockingly there is water found on Mars in frozen form i.e. ice.,"Jupiter is 650.29 million km away from Earth, and is large enough to fit 1,300 Earths inside it!!",Saturn's ring isn't solid infact it's made up of millions of tiny particles such as ice and rocks held together by it's strong gravity!,Uranus's axis is so tilted ( almost 98° ) it appears to be rotating on its side.,Neptune being the coldest planet in our Solar System can go as low as -391° C or -671.8° F!!
Mercury's core is constantly shrinking in size.,Sun takes up 99.86% of the mass in Solar System!,Your weight on Mercury would be 38% of your weight on Earth.,"Venus's dense atmosphere traps heat, making it the hottest planet, hence the temperature reaching upto 450° C!","Earth's gravity and it's shape isn't uniform, more like an irregularly shaped ellipsoid.",The iron rich minerals present on Mars's surface is what gives it the red colour!,"Jupiter is the fastest spinning planet, and it's magnetic field is 14 times stronger than Earths.",Saturn is the most distant planet which can be seen by naked eye!,"Uranus is one of the coldest planet, with temperature hitting as low as -188.3° C or -370.94° F!",Neptune appears blue to eyes due to absorption of red and infrared light by it's methane atmosphere.
Pluto is the only place after Earth which has white peaked mountain.,Sun is giant gas ball composed of hydrogen and helium.,Mercury is the smallest and closest planet to the Sun.,Venus is the brightest and second closest planet to the Sun.,Earth is the only habitable and third closest planet to the Sun which we live on.,Mars also known as the red planet is the fourth closest planet to the Sun.,Jupiter is the largest and fifth closest planet to the Sun.,Saturn also known as the ring planet is the sixth closest to the Sun.,Uranus is the seventh from planet to the Sun.,Neptune is the coldest and eight planet from the Sun.
Footprints of humans on the moon will stay for millions of years due to absence of atmosphere on it.,"Sun is 149.48 million kms away from Earth, this distance is also known as the Astronomical Unit (A.U.)",Mercury's core is constantly shrinking in size.,"Venus's atmosphere is 96% all carbondioxide, with no water on it's surface, creating a greenhouse effect.","71% of the Earth's surface is covered with water, which only 3% of it is drinkable!",Shockingly there is water found on Mars in frozen form i.e. ice.,"Jupiter is 650.29 million km away from Earth, and is large enough to fit 1,300 Earths inside it!!",Saturn's ring isn't solid infact it's made up of millions of tiny particles such as ice and rocks held together by it's strong gravity!,Uranus's axis is so tilted ( almost 98° ) it appears to be rotating on its side.,Neptune being the coldest planet in our Solar System can go as low as -391° C or -671.8° F!!
Some planets do not even have a surface to land on!,The Sun is big enough to fit 1.3 million Earth inside it!!,Your weight on Mercury would be 38% of your weight on Earth.,"Venus's dense atmosphere traps heat, making it the hottest planet, hence the temperature reaching upto 450° C!","Earth's gravity and it's shape isn't uniform, more like an irregularly shaped ellipsoid.",The iron rich minerals present on Mars's surface is what gives it the red colour!,"Jupiter is the fastest spinning planet, and it's magnetic field is 14 times stronger than Earths.",Saturn is the most distant planet which can be seen by naked eye!,"Uranus is one of the coldest planet, with temperature hitting as low as -188.3° C or -370.94° F!",Neptune appears blue to eyes due to absorption of red and infrared light by it's methane atmosphere.
"Pieces of the same metal will permanently merge in space, this phenomena is known as cold welding.",Sun takes up 99.86% of the mass in Solar System!,Mercury is the smallest and closest planet to the Sun.,Venus is the brightest and second closest planet to the Sun.,Earth is the only habitable and third closest planet to the Sun which we live on.,Mars also known as the red planet is the fourth closest planet to the Sun.,Jupiter is the largest and fifth closest planet to the Sun.,Saturn also known as the ring planet is the sixth closest to the Sun.,Uranus is the seventh from planet to the Sun.,Neptune is the coldest and eight planet from the Sun.
There are interstellar objects passing through our solar system.,Sun is giant gas ball composed of hydrogen and helium.,Mercury's core is constantly shrinking in size.,"Venus's atmosphere is 96% all carbondioxide, with no water on it's surface, creating a greenhouse effect.","71% of the Earth's surface is covered with water, which only 3% of it is drinkable!",Shockingly there is water found on Mars in frozen form i.e. ice.,"Jupiter is 650.29 million km away from Earth, and is large enough to fit 1,300 Earths inside it!!",Saturn's ring isn't solid infact it's made up of millions of tiny particles such as ice and rocks held together by it's strong gravity!,Uranus's axis is so tilted ( almost 98° ) it appears to be rotating on its side.,Neptune being the coldest planet in our Solar System can go as low as -391° C or -671.8° F!!
"Saturn is composed of gases, making it less dense than water, hence making it float on it!","Sun is 149.48 million kms away from Earth, this distance is also known as the Astronomical Unit (A.U.)",Your weight on Mercury would be 38% of your weight on Earth.,"Venus's dense atmosphere traps heat, making it the hottest planet, hence the temperature reaching upto 450° C!","Earth's gravity and it's shape isn't uniform, more like an irregularly shaped ellipsoid.",The iron rich minerals present on Mars's surface is what gives it the red colour!,"Jupiter is the fastest spinning planet, and it's magnetic field is 14 times stronger than Earths.",Saturn is the most distant planet which can be seen by naked eye!,"Uranus is one of the coldest planet, with temperature hitting as low as -188.3° C or -370.94° F!",Neptune appears blue to eyes due to absorption of red and infrared light by it's methane atmosphere.
"Jupiter has the most moons in our solar system, with a total of 79 moons.",The Sun is big enough to fit 1.3 million Earth inside it!!,Mercury is the smallest and closest planet to the Sun.,Venus is the brightest and second closest planet to the Sun.,Earth is the only habitable and third closest planet to the Sun which we live on.,Mars also known as the red planet is the fourth closest planet to the Sun.,Jupiter is the largest and fifth closest planet to the Sun.,Saturn also known as the ring planet is the sixth closest to the Sun.,Uranus is the seventh from planet to the Sun.,Neptune is the coldest and eight planet from the Sun.
The hottest planet in our solar system aka Venus reaches upto 450° C!,Sun takes up 99.86% of the mass in Solar System!,Mercury's core is constantly shrinking in size.,"Venus's atmosphere is 96% all carbondioxide, with no water on it's surface, creating a greenhouse effect.","71% of the Earth's surface is covered with water, which only 3% of it is drinkable!",Shockingly there is water found on Mars in frozen form i.e. ice.,"Jupiter is 650.29 million km away from Earth, and is large enough to fit 1,300 Earths inside it!!",Saturn's ring isn't solid infact it's made up of millions of tiny particles such as ice and rocks held together by it's strong gravity!,Uranus's axis is so tilted ( almost 98° ) it appears to be rotating on its side.,Neptune being the coldest planet in our Solar System can go as low as -391° C or -671.8° F!!
Halley's comet passes through Earth's vicinity every 75 years.,Sun is giant gas ball composed of hydrogen and helium.,Your weight on Mercury would be 38% of your weight on Earth.,"Venus's dense atmosphere traps heat, making it the hottest planet, hence the temperature reaching upto 450° C!","Earth's gravity and it's shape isn't uniform, more like an irregularly shaped ellipsoid.",The iron rich minerals present on Mars's surface is what gives it the red colour!,"Jupiter is the fastest spinning planet, and it's magnetic field is 14 times stronger than Earths.",Saturn is the most distant planet which can be seen by naked eye!,"Uranus is one of the coldest planet, with temperature hitting as low as -188.3° C or -370.94° F!",Neptune appears blue to eyes due to absorption of red and infrared light by it's methane atmosphere.
Neutron stars can spin upto 600 times per second.,"Sun is 149.48 million kms away from Earth, this distance is also known as the Astronomical Unit (A.U.)",Mercury is the smallest and closest planet to the Sun.,Venus is the brightest and second closest planet to the Sun.,Earth is the only habitable and third closest planet to the Sun which we live on.,Mars also known as the red planet is the fourth closest planet to the Sun.,Jupiter is the largest and fifth closest planet to the Sun.,Saturn also known as the ring planet is the sixth closest to the Sun.,Uranus is the seventh from planet to the Sun.,Neptune is the coldest and eight planet from the Sun.
1 day on Venus is longer than 1 Earthly year.,The Sun is big enough to fit 1.3 million Earth inside it!!,Mercury's core is constantly shrinking in size.,"Venus's atmosphere is 96% all carbondioxide, with no water on it's surface, creating a greenhouse effect.","71% of the Earth's surface is covered with water, which only 3% of it is drinkable!",Shockingly there is water found on Mars in frozen form i.e. ice.,"Jupiter is 650.29 million km away from Earth, and is large enough to fit 1,300 Earths inside it!!",Saturn's ring isn't solid infact it's made up of millions of tiny particles such as ice and rocks held together by it's strong gravity!,Uranus's axis is so tilted ( almost 98° ) it appears to be rotating on its side.,Neptune being the coldest planet in our Solar System can go as low as -391° C or -671.8° F!!
In 3.75 billion years the Milky Way and Andromeda galaxies will collide.,Sun takes up 99.86% of the mass in Solar System!,Your weight on Mercury would be 38% of your weight on Earth.,"Venus's dense atmosphere traps heat, making it the hottest planet, hence the temperature reaching upto 450° C!","Earth's gravity and it's shape isn't uniform, more like an irregularly shaped ellipsoid.",The iron rich minerals present on Mars's surface is what gives it the red colour!,"Jupiter is the fastest spinning planet, and it's magnetic field is 14 times stronger than Earths.",Saturn is the most distant planet which can be seen by naked eye!,"Uranus is one of the coldest planet, with temperature hitting as low as -188.3° C or -370.94° F!",Neptune appears blue to eyes due to absorption of red and infrared light by it's methane atmosphere.
Largest known asteroid is 965 km wide.,Sun is giant gas ball composed of hydrogen and helium.,Mercury is the smallest and closest planet to the Sun.,Venus is the brightest and second closest planet to the Sun.,Earth is the only habitable and third closest planet to the Sun which we live on.,Mars also known as the red planet is the fourth closest planet to the Sun.,Jupiter is the largest and fifth closest planet to the Sun.,Saturn also known as the ring planet is the sixth closest to the Sun.,Uranus is the seventh from planet to the Sun.,Neptune is the coldest and eight planet from the Sun.
